Year,Co code,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,6,NA,3,,1,1,,,,,,,0,0,,,5,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,7,NA,,1,,1,2,,,,,,1,0,,,5,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,8,NA,,1,1,,3,,,1,,,0,0,,,6,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,9,NA,1,,1,1,1,,,,,,0,0,,,4,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,10,NA,1,1,,,,,,1,,,0,0,,,3,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,11,NA,,2.5,1,1,,1,,,,,0,0,,,5.5,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,12,NA,8,2,6,3,2,2,1,2,,,0,0,,,26,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,UG,NA,93,61,35,13,24,26,8,6,1,,0,0,2,,269,,,,
2010-2011,1,ATLANTIC,125,ATLANTIC CTY SPEC SERV SCH DIST,999,Total,55,NA,113,74.5,54,22,41,31,13,12,1,,1,0,2,,364.5,121,20.5,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,PF,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,PH,NA,29,28,,,4,3,1,1,,1,0,0,,,67,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,KF,NA,30,34,3,1,4,4,3,6,,,0,0,,,85,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,1,NA,27,26,,3,6,6,,4,,,0,0,,,72,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,2,NA,23,32,6,1,5,5,2,,,,0,0,1,,75,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,3,NA,31,35,2,3,9,8,3,5,,,0,0,,,96,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,4,NA,28,20,1,3,6,2,6,4,,,0,0,,1,71,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,5,NA,28,21,2,1,2,1,4,3,,,0,0,,,62,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,UG,NA,7,3,,1,1,1,2,1,,,0,0,,,16,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,10,Brigantine Elem School,55,NA,204,199,14,13,37,30,21,24,,1,0,0,1,1,545,191,45,40,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,30,Brigantine North School,5,NA,1,2,,1,,1,,,,,0,0,,,5,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,30,Brigantine North School,6,NA,28,26,2,2,5,3,2,,,,1,0,,,69,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,30,Brigantine North School,7,NA,38,25,2,1,2,4,1,4,,,0,0,1,,78,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,30,Brigantine North School,8,NA,43,33,1,2,3,4,3,4,,,0,0,1,,94,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,30,Brigantine North School,UG,NA,,1,1,,3,,,,,,0,0,,,5,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,30,Brigantine North School,55,NA,110,87,6,6,13,12,6,8,,,1,0,2,,251,77,21,4,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,PF,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,PH,NA,29,28,,,4,3,1,1,,1,0,0,,,67,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,KF,NA,30,34,3,1,4,4,3,6,,,0,0,,,85,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,1,NA,27,26,,3,6,6,,4,,,0,0,,,72,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,2,NA,23,32,6,1,5,5,2,,,,0,0,1,,75,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,3,NA,31,35,2,3,9,8,3,5,,,0,0,,,96,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,4,NA,28,20,1,3,6,2,6,4,,,0,0,,1,71,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,5,NA,29,23,2,2,2,2,4,3,,,0,0,,,67,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,6,NA,28,26,2,2,5,3,2,,,,1,0,,,69,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,7,NA,38,25,2,1,2,4,1,4,,,0,0,1,,78,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,8,NA,43,33,1,2,3,4,3,4,,,0,0,1,,94,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,UG,NA,7,4,1,1,4,1,2,1,,,0,0,,,21,,,,
2010-2011,1,ATLANTIC,570,BRIGANTINE CITY,999,Total,55,NA,314,286,20,19,50,42,27,32,,1,1,0,3,1,796,268,66,44,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,25,Buena Regional H.S.,8,NA,46,33,11,5,19,1,1,1,,,0,0,,1,118,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,25,Buena Regional H.S.,9,NA,57,75,18,12,16,17,2,1,,,0,0,2,,200,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,25,Buena Regional H.S.,10,NA,74,76,20,17,22,21,,,,,0,0,1,1,232,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,25,Buena Regional H.S.,11,NA,60,83,16,12,23,11,,,,,0,0,,,205,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,25,Buena Regional H.S.,12,NA,67,69,17,10,15,19,,1,,,0,0,,,198,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,25,Buena Regional H.S.,UG,NA,7,,1,4,5,,,,,,0,0,,,17,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,25,Buena Regional H.S.,55,NA,311,336,83,60,100,69,3,3,,,0,0,3,2,970,270,124,10,5
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,30,Buena Regional Middle School,5,NA,34,39,14,9,16,12,1,,,,0,0,,,125,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,30,Buena Regional Middle School,6,NA,43,44,9,14,12,26,4,1,,,0,0,,,153,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,30,Buena Regional Middle School,7,NA,56,47,12,20,28,22,1,1,,,1,0,,1,189,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,30,Buena Regional Middle School,8,NA,12,17,5,2,5,6,1,,,,0,0,,,48,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,30,Buena Regional Middle School,UG,NA,5,2,6,1,3,1,1,,,,0,0,,,19,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,30,Buena Regional Middle School,55,NA,150,149,46,46,64,67,8,2,,,1,0,,1,534,183,55,3,2
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,45,Collings Lake E.S.,KF,NA,11,10,2,3,8,5,,,,,0,0,,,39,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,45,Collings Lake E.S.,1,NA,15,9,3,8,,5,,,,,0,0,,,40,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,45,Collings Lake E.S.,2,NA,11,10,5,2,4,11,,,,,0,0,,,43,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,45,Collings Lake E.S.,3,NA,15,14,6,9,4,5,,,,,0,0,,,53,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,45,Collings Lake E.S.,4,NA,12,5,6,6,6,4,,,,,0,0,,,39,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,45,Collings Lake E.S.,5,NA,1,,,,,1,,,,,0,0,,,2,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,45,Collings Lake E.S.,UG,NA,2,2,,1,,1,,,,,0,0,,,6,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,45,Collings Lake E.S.,55,NA,73,56,24,30,22,34,,,,,0,0,,,239,97,30,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,50,William B. Donini E.S.,KF,NA,15,5,5,4,6,4,,,,,0,0,,,39,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,50,William B. Donini E.S.,1,NA,8,10,4,3,9,6,,1,,,0,0,,,41,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,50,William B. Donini E.S.,2,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,50,William B. Donini E.S.,3,NA,1,2,1,1,,,,,,,0,0,,,5,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,50,William B. Donini E.S.,UG,NA,,,,,1,1,,,,,0,0,,,2,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,50,William B. Donini E.S.,55,NA,33,22,10,9,19,14,,1,,,0,0,,,108,41,6,1,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,53,Edgarton Memorial E.S.,KF,NA,11,7,2,,2,3,,,,,0,0,,,25,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,53,Edgarton Memorial E.S.,1,NA,7,9,,,3,2,,2,,,0,0,,,23,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,53,Edgarton Memorial E.S.,2,NA,14,8,,1,2,1,,,,,0,0,,,26,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,53,Edgarton Memorial E.S.,3,NA,18,14,1,1,8,7,,,,,0,0,,,49,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,53,Edgarton Memorial E.S.,4,NA,23,14,,2,7,3,2,,,,0,0,,,51,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,53,Edgarton Memorial E.S.,5,NA,7,9,,,,,1,,,,0,0,,,17,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,53,Edgarton Memorial E.S.,UG,NA,5,2,,,4,,,,,,0,0,,,11,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,53,Edgarton Memorial E.S.,55,NA,85,64,3,4,26,16,3,2,,,0,0,,,203,66,17,3,1
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,55,John C. Milanesi E.S.,KF,NA,17,10,2,3,12,5,,1,,,0,0,,,50,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,55,John C. Milanesi E.S.,1,NA,16,11,4,3,3,10,,2,,,0,0,,,49,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,55,John C. Milanesi E.S.,2,NA,23,18,2,5,5,9,1,,,,0,0,,,63,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,55,John C. Milanesi E.S.,3,NA,15,25,6,8,9,8,,,,,0,0,,,71,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,55,John C. Milanesi E.S.,4,NA,25,15,,5,12,9,,2,,,0,0,,,68,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,55,John C. Milanesi E.S.,UG,NA,6,3,1,,3,1,,,,,0,0,,,14,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,55,John C. Milanesi E.S.,55,NA,119,103,16,26,46,48,1,7,,,0,0,,,366,124,30,27,7
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,KF,NA,54,32,11,10,28,17,,1,,,0,0,,,153,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,1,NA,46,39,11,14,15,23,,5,,,0,0,,,153,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,2,NA,49,36,7,8,11,21,1,,,,0,0,,,133,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,3,NA,49,55,14,19,21,20,,,,,0,0,,,178,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,4,NA,60,34,6,13,25,16,2,2,,,0,0,,,158,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,5,NA,42,48,14,9,16,13,2,,,,0,0,,,144,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,6,NA,43,44,9,14,12,26,4,1,,,0,0,,,153,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,7,NA,56,47,12,20,28,22,1,1,,,1,0,,1,189,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,8,NA,58,50,16,7,24,7,2,1,,,0,0,,1,166,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,9,NA,57,75,18,12,16,17,2,1,,,0,0,2,,200,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,10,NA,74,76,20,17,22,21,,,,,0,0,1,1,232,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,11,NA,60,83,16,12,23,11,,,,,0,0,,,205,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,12,NA,67,69,17,10,15,19,,1,,,0,0,,,198,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,UG,NA,25,9,8,6,16,4,1,,,,0,0,,,69,,,,
2010-2011,1,ATLANTIC,590,BUENA REGIONAL,999,Total,55,NA,771,730,182,175,277,248,15,15,,,1,0,3,3,2420,781,262,44,15
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,20,Charles L. Spragg E.S.,PF,NA,2,9,3,5,13,13,,,,,0,0,3,5,53,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,20,Charles L. Spragg E.S.,KF,NA,10,6,8,5,5,5,,,,,0,0,2,2,43,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,20,Charles L. Spragg E.S.,1,NA,3,6,4,6,12,10,,,,,0,0,,1,42,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,20,Charles L. Spragg E.S.,2,NA,5,8,3,8,8,9,2,,,,0,0,,,43,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,20,Charles L. Spragg E.S.,3,NA,7,,4,3,11,6,2,1,,,0,0,,,34,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,20,Charles L. Spragg E.S.,UG,NA,3,1,,,2,1,,,,,0,0,,,7,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,20,Charles L. Spragg E.S.,55,NA,30,30,22,27,51,44,4,1,,,0,0,5,8,222,157,20,6,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,30,Egg Harbor City Community School,4,NA,17,9,7,5,10,5,,,,,0,0,,,53,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,30,Egg Harbor City Community School,5,NA,8,4,3,5,15,7,,,,,0,0,,,42,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,30,Egg Harbor City Community School,6,NA,12,10,6,6,5,3,1,,,2,0,0,,,45,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,30,Egg Harbor City Community School,7,NA,9,5,5,3,6,5,1,,,,0,0,,,34,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,30,Egg Harbor City Community School,8,NA,9,7,4,6,6,13,1,,,,0,0,,,46,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,30,Egg Harbor City Community School,UG,NA,3,2,4,1,6,4,,,,,0,0,,,20,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,30,Egg Harbor City Community School,55,NA,58,37,29,26,48,37,3,,,2,0,0,,,240,161,25,6,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,PF,NA,2,9,3,5,13,13,,,,,0,0,3,5,53,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,KF,NA,10,6,8,5,5,5,,,,,0,0,2,2,43,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,1,NA,3,6,4,6,12,10,,,,,0,0,,1,42,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,2,NA,5,8,3,8,8,9,2,,,,0,0,,,43,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,3,NA,7,,4,3,11,6,2,1,,,0,0,,,34,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,4,NA,17,9,7,5,10,5,,,,,0,0,,,53,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,5,NA,8,4,3,5,15,7,,,,,0,0,,,42,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,6,NA,12,10,6,6,5,3,1,,,2,0,0,,,45,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,7,NA,9,5,5,3,6,5,1,,,,0,0,,,34,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,8,NA,9,7,4,6,6,13,1,,,,0,0,,,46,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,UG,NA,6,3,4,1,8,5,,,,,0,0,,,27,,,,
2010-2011,1,ATLANTIC,1300,EGG HARBOR CITY,999,Total,55,NA,88,67,51,53,99,81,7,1,,2,0,0,5,8,462,318,45,12,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,5,Egg Harbor Township H.S.,9,NA,150,162,39,29,50,70,54,38,,1,0,0,13,9,615,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,5,Egg Harbor Township H.S.,10,NA,161,160,49,37,54,83,29,37,,,0,0,19,19,648,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,5,Egg Harbor Township H.S.,11,NA,161,164.5,42,34,76,43,44,41,,,0,0,25,17,647.5,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,5,Egg Harbor Township H.S.,12,NA,135,164,37,41,66,63,45,44,,,0,0,13,18,626,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,5,Egg Harbor Township H.S.,UG,NA,2,3,,,1,2,,,,,0,0,1,,9,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,5,Egg Harbor Township H.S.,55,NA,609,653.5,167,141,247,261,172,160,,1,0,0,71,63,2545.5,584,232,52,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,33,Clayton J. Davenport E.S.,PH,NA,9,9,2,,4,5,8,4,,,0,0,1,2,44,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,33,Clayton J. Davenport E.S.,KF,NA,,,,,1,,,,,,0,0,,,1,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,33,Clayton J. Davenport E.S.,KH,NA,28,30,10,5,26,24,16,20,,,0,0,5,7,171,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,33,Clayton J. Davenport E.S.,1,NA,39,40,10,6,33,30,20,15,1,,1,0,1,3,199,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,33,Clayton J. Davenport E.S.,2,NA,39,27,9,9,30,30,17,22,,,0,0,5,5,193,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,33,Clayton J. Davenport E.S.,3,NA,39,38,13,10,34,33,18,14,,1,0,0,8,8,216,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,33,Clayton J. Davenport E.S.,UG,NA,12,1,3,,6,,13,3,,,0,0,1,,39,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,33,Clayton J. Davenport E.S.,55,NA,168,145,47,30,134,122,92,78,1,1,1,0,21,25,865,329,90,77,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,35,E.H. Slaybaugh E.S.,PH,NA,15,15,,,3,1,5,4,,,0,0,2,1,46,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,35,E.H. Slaybaugh E.S.,KH,NA,52,55,4,5,16,8,8,13,,,0,0,6,3,170,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,35,E.H. Slaybaugh E.S.,1,NA,73,71,6,4,19,8,13,20,,,1,0,12,3,230,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,35,E.H. Slaybaugh E.S.,2,NA,82,68,4,10,7,8,15,12,,,0,0,3,8,217,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,35,E.H. Slaybaugh E.S.,3,NA,88,83,6,6,11,12,18,12,,,0,0,2,5,243,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,35,E.H. Slaybaugh E.S.,UG,NA,11,4,7,2,3,3,,,,,0,0,1,,31,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,35,E.H. Slaybaugh E.S.,55,NA,327,299,28,27,60,40,59,61,,,1,0,26,20,948,195,56,18,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,38,Alder Avenue Middle School,6,NA,67,73,16,8,23,25,18,21,,1,0,0,2,11,265,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,38,Alder Avenue Middle School,7,NA,67,70,13,16,35,24,17,23,,,0,0,6,6,277,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,38,Alder Avenue Middle School,8,NA,75,88,13,7,34,28,16,16,,,0,0,6,9,292,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,38,Alder Avenue Middle School,UG,NA,8,2,6,1,9,1,5,1,,,0,0,1,1,35,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,38,Alder Avenue Middle School,55,NA,217,233,48,32,101,78,56,61,,1,0,0,15,27,869,230,96,9,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,39,Fernwood Middle School,6,NA,72,75,14,17,23,31,20,30,1,1,0,0,6,8,298,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,39,Fernwood Middle School,7,NA,78,65,21,14,36,33,21,18,,,0,0,5,14,305,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,39,Fernwood Middle School,8,NA,100,72,16,7,39,37,23,19,,,0,0,13,10,336,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,39,Fernwood Middle School,UG,NA,,4,5,5,1,3,,,,,0,0,3,,21,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,39,Fernwood Middle School,55,NA,250,216,56,43,99,104,64,67,1,1,0,0,27,32,960,274,95,17,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,45,Dr. Joy Miller Elementary School,4,NA,153,134,32,33,67,59,52,41,,,1,0,11,13,596,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,45,Dr. Joy Miller Elementary School,5,NA,126,139,36,41,49,66,57,39,,,0,0,9,10,572,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,45,Dr. Joy Miller Elementary School,UG,NA,9,2,5,2,6,4,,,,,0,0,1,,29,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,45,Dr. Joy Miller Elementary School,55,NA,288,275,73,76,122,129,109,80,,,1,0,21,23,1197,363,108,15,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,50,H. Russell Swift E.S.,PH,NA,12,5,1,,2,2,3,,,,1,1,,1,28,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,50,H. Russell Swift E.S.,KH,NA,30,27,5,1,11,6,5,5,,,0,0,5,3,98,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,50,H. Russell Swift E.S.,1,NA,23,36,5,4,7,11,4,3,,,0,0,1,3,97,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,50,H. Russell Swift E.S.,2,NA,30,37,2,7,11,9,9,14,,,0,0,3,3,125,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,50,H. Russell Swift E.S.,3,NA,23,20,11,5,12,12,6,6,,,0,0,3,6,104,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,50,H. Russell Swift E.S.,UG,NA,5,2,3,,3,2,1,2,,,0,0,1,,19,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,50,H. Russell Swift E.S.,55,NA,126,132,27,17,46,42,28,30,,,1,1,13,16,479,94,31,32,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,PH,NA,36,29,3,,9,8,16,8,,,1,1,3,4,118,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,KF,NA,,,,,1,,,,,,0,0,,,1,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,KH,NA,110,112,19,11,53,38,29,38,,,0,0,16,13,439,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,1,NA,135,147,21,14,59,49,37,38,1,,2,0,14,9,526,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,2,NA,151,132,15,26,48,47,41,48,,,0,0,11,16,535,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,3,NA,150,141,30,21,57,57,42,32,,1,0,0,13,19,563,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,4,NA,153,134,32,33,67,59,52,41,,,1,0,11,13,596,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,5,NA,126,139,36,41,49,66,57,39,,,0,0,9,10,572,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,6,NA,139,148,30,25,46,56,38,51,1,2,0,0,8,19,563,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,7,NA,145,135,34,30,71,57,38,41,,,0,0,11,20,582,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,8,NA,175,160,29,14,73,65,39,35,,,0,0,19,19,628,,,,
2010-2011,1,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,9,NA,150,162,39,29,50,70,54,38,,1,0,0,13,9,615,,,,
